Bay,DATE,DIN,DON
LB,07/09/2013,0.035035,0.6207056444
LB,07/09/2013,0.0331566667,0.5760683263
LB,10/02/2013,0.136815,1.1780353385
LB,10/02/2013,0.07469,0.9823789243
LB,01/09/2014,0.02842,0.6296584557
LB,01/09/2014,0.0324566667,0.5816679294
LB,04/09/2014,0.0478333333,0.75824
LB,04/09/2014,0.06657,0.7084
LB,07/08/2014,0.02947,1.0467390887
LB,07/08/2014,0.03479,0.923038174
LB,10/09/2014,0.02667,0.8481366946
LB,10/09/2014,0.0235666667,1.1865747005
LB,01/20/2015,0.02975,0.7190296273
LB,01/20/2015,0.1074966667,0.5170084629
LB,04/21/2015,0.94717,1.6288301557
LB,04/21/2015,0.89159,1.7989295665
LB,07/08/2015,0.04627,0.9161983766
LB,07/08/2015,0.02982,0.8489823904
LB,10/07/2015,0.01736,0.924904899
LB,10/07/2015,0.00777,0.7207625258
LB,01/07/2016,0.13181,2.2411161737
LB,01/07/2016,0.0371,0.7756004479
LB,04/05/2016,0.08008,0.6294317665
LB,04/05/2016,0.04928,0.6947489176
LB,07/13/2016,0.03822,0.6926312492
LB,07/13/2016,0.02107,0.8505489149
